vectorizer,similarity_metric,min_df_param,max_df_param,language,langfilter,accuracy (%),accuracy (average relevancy > 0) (%),ndcg,ndcg (full rank)
tfidf,cosine,700,0.9,javascript,True,17.86833855799373,18.072289156626507,0.16126314890467813,0.06642576602802944
tfidf,cosine,900,0.8,java,True,18.45018450184502,17.84897025171625,0.16182607302043803,0.08103195922337178
tfidf,cosine,100,0.8,java,True,24.723247232472325,23.569794050343248,0.22464020885923797,0.09887388267854816
tfidf,cosine,0.3,0.9,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.6,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,0.7,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.7,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.5,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.7,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.8,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.4,python,False,0.10111223458038424,0.0,0.0,0.0
tfidf,cosine,0.2,0.6,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.6,java,False,0.12300123001230012,0.0,0.0,0.0
tfidf,cosine,400,1.0,java,True,21.033210332103323,20.59496567505721,0.18896431378114667,0.09484569586535835
tfidf,cosine,0.3,0.4,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.5,0.7,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.0,0.6,javascript,False,21.316614420062695,22.89156626506024,0.20492688734160394,0.09013854884177633
tfidf,cosine,0.0,0.6,python,False,22.04246713852376,23.094425483503983,0.26994964062618143,0.1439474715710789
tfidf,cosine,0.0,1.0,go,True,24.096385542168676,25.961538461538463,0.25930620142741867,0.0713696455463757
tfidf,cosine,600,0.8,python,True,18.503538928210315,18.998862343572238,0.22177230724121882,0.09608468248953883
tfidf,cosine,0.4,0.7,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.0,1.0,python,True,22.143579373104146,23.208191126279864,0.27203700644559636,0.14618746430305518
