,vectorizer,similarity_metric,min_df_param,max_df_param,language,langfilter,accuracy (%),accuracy (average relevancy > 0) (%),ndcg,ndcg (full rank)
77,tfidf,cosine,0.0,0.6,java,False,0.0,0.0,0.0,0.0
78,tfidf,cosine,0.0,0.4,java,False,0.0,0.0,0.0,0.0
79,tfidf,cosine,0.4,0.8,go,False,0.0,0.0,0.0,0.0
80,tfidf,cosine,0.2,0.4,java,False,0.0,0.0,0.0,0.0
81,tfidf,cosine,0.2,0.6,python,True,0.0,0.0,0.0,0.0
82,tfidf,cosine,0.0,0.6,javascript,True,0.0,0.0,0.0,0.0
83,tfidf,cosine,0.4,1.0,python,True,0.0,0.0,0.0,0.0
84,tfidf,cosine,0.2,0.6,java,True,0.0,0.0,0.0,0.0
85,tfidf,cosine,0.2,0.6,python,False,0.0,0.0,0.0,0.0
86,tfidf,cosine,0.2,0.4,java,True,0.0,0.0,0.0,0.0
87,tfidf,cosine,0.2,0.4,javascript,True,0.0,0.0,0.0,0.0
88,tfidf,cosine,0.4,0.6,javascript,True,0.0,0.0,0.0,0.0
89,tfidf,cosine,0.0,0.8,go,False,0.0,0.0,0.0,0.0
90,tfidf,cosine,0.4,0.8,java,False,0.0,0.0,0.0,0.0
91,tfidf,cosine,0.0,0.4,python,True,22.04246713852376,23.094425483503983,0.2688481035830814,0.14495816869663
92,tfidf,cosine,0.4,1.0,java,False,0.0,0.0,0.0,0.0
93,tfidf,cosine,0.2,0.4,go,False,0.0,0.0,0.0,0.0
94,tfidf,cosine,0.0,0.6,python,True,22.143579373104146,23.208191126279864,0.2696097221138859,0.1451885652804408
95,tfidf,cosine,0.0,0.4,python,False,22.143579373104146,23.208191126279864,0.26989218907683804,0.14482146296418563
96,tfidf,cosine,0.0,0.8,java,True,0.0,0.0,0.0,0.0
97,tfidf,cosine,0.4,0.8,javascript,True,0.0,0.0,0.0,0.0
98,tfidf,cosine,0.4,1.0,javascript,False,0.0,0.0,0.0,0.0
99,tfidf,cosine,0.0,1.0,python,False,22.143579373104146,23.208191126279864,0.2704019450732699,0.14627873002845598
100,tfidf,cosine,0.0,0.8,javascript,False,0.0,0.0,0.0,0.0
101,tfidf,cosine,0.4,1.0,go,False,0.0,0.0,0.0,0.0
102,tfidf,cosine,0.2,0.8,javascript,True,0.0,0.0,0.0,0.0
103,tfidf,cosine,0.0,0.6,go,True,0.0,0.0,0.0,0.0
104,tfidf,cosine,0.6,1.0,java,False,0.0,0.0,0.0,0.0
105,tfidf,cosine,0.4,0.8,java,True,0.0,0.0,0.0,0.0
106,tfidf,cosine,0.4,0.6,java,False,0.0,0.0,0.0,0.0
107,tfidf,cosine,0.2,0.4,python,True,0.0,0.0,0.0,0.0
108,tfidf,cosine,0.0,1.0,javascript,False,0.0,0.0,0.0,0.0
109,tfidf,cosine,0.2,0.8,go,False,0.0,0.0,0.0,0.0
